code,title,href,info,credits,level,state,last_examination_semester
DD3013,Summan av kvadrater och heltalsprogrammeringslÃ¤ttnader,https://www.kth.se/student/kurser/kurs/DD3013,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3356,Systemintegration i robotik,https://www.kth.se/student/kurser/kurs/DD3356,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3433,SystemnivÃ¥teorier fÃ¶r hjÃ¤rnfunktion,https://www.kth.se/student/kurser/kurs/DD3433,,"3,0",ForskarnivÃ¥,ESTABLISHED,
DD225V,Systemprogrammering och operativsystem,https://www.kth.se/student/kurser/kurs/DD225V,<p>En kurs om operativsystem och hur man programmerar n&#228;ra dessa.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD2486,Systemprogrammering och operativsystem,https://www.kth.se/student/kurser/kurs/DD2486,<p>En kurs om operativsystem och hur man programmerar n&#228;ra dessa.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD3006,Temporal logik,https://www.kth.se/student/kurser/kurs/DD3006,,"4,0",ForskarnivÃ¥,ESTABLISHED,
DD2455,Teoretiska grunder fÃ¶r objektorientering,https://www.kth.se/student/kurser/kurs/DD2455,"<p>This course covers the theoretical foundations of object-oriented programming. After a review of the principles of object-orientation, we consider a number of mathematical models of different aspects of object-oriented languages, including: abstract data types, concurrency, sequential correctness and type checking.</p>","7,5",Avancerad nivÃ¥,CANCELLED,20201
DD2397,TillÃ¤mpad bioinformatik,https://www.kth.se/student/kurser/kurs/DD2397,,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD1322,"TillÃ¤mpad programmering och datalogi, del 1",https://www.kth.se/student/kurser/kurs/DD1322,<p>En grundl&#228;ggande kurs i datalogi och programmeringspraktik. Kursen best&#229;r av de&#160;sex f&#246;rsta po&#228;ngen i DD1321 och &#228;r avsedd f&#246;r den som inte har plats med hela DD1321. Det g&#229;r att komplettera med resten av DD1321 genom trepo&#228;ngskursen DD1324.</p>,"6,0",GrundnivÃ¥,CANCELLED,20201
DD231V,Utveckling av webbtillÃ¤mpningar med Enterprise Java,https://www.kth.se/student/kurser/kurs/DD231V,"<p>Kursen ger kunskap i att utveckla webserverapplikationer. De tekniker som behandlas &#228;r JSP, JDBC, Servlets och EJB. M&#229;nga laborationer ing&#229;r.</p>","7,5",Avancerad nivÃ¥,CANCELLED,20201
DD2483,Utveckling av webbtillÃ¤mpningar med Enterprise Java,https://www.kth.se/student/kurser/kurs/DD2483,<p>En forts&#228;ttningskurs i datalogi som ger grundl&#228;ggande kunskaper i Enterprise Java.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD3436,Vetenskaplig programmering i Python fÃ¶r berÃ¤kningsbiologi,https://www.kth.se/student/kurser/kurs/DD3436,,"5,0",ForskarnivÃ¥,ESTABLISHED,
DD3337,Ã„mnen i datorseende I,https://www.kth.se/student/kurser/kurs/DD3337,,"3,0",ForskarnivÃ¥,ESTABLISHED,
DD3338,Ã„mnen i datorseende II,https://www.kth.se/student/kurser/kurs/DD3338,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3339,Ã„mnen i datorseende III,https://www.kth.se/student/kurser/kurs/DD3339,,"9,0",ForskarnivÃ¥,ESTABLISHED,
DD3353,Ã„mnen i robotik I,https://www.kth.se/student/kurser/kurs/DD3353,,"3,0",ForskarnivÃ¥,ESTABLISHED,
DD3354,Ã„mnen i robotik II,https://www.kth.se/student/kurser/kurs/DD3354,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3355,Ã„mnen i robotik III,https://www.kth.se/student/kurser/kurs/DD3355,,"9,0",ForskarnivÃ¥,ESTABLISHED,
DD3314,Ã–vervakning av moln- och mjukvarubaserade nÃ¤tverk,https://www.kth.se/student/kurser/kurs/DD3314,,"9,0",ForskarnivÃ¥,ESTABLISHED,
