code,title,href,info,credits,level,state,last_examination_semester
DD1340,Introduktion till datalogi,https://www.kth.se/student/kurser/kurs/DD1340,<p>En grundl&#228;ggande kurs i datalogi som inleds med en introduktion till datoranv&#228;ndning.</p>,"18,0",GrundnivÃ¥,CANCELLED,20201
DD1341,Introduktion till datalogi,https://www.kth.se/student/kurser/kurs/DD1341,<p>En grundl&#228;ggande kurs i datalogi som inleds med en introduktion till datoranv&#228;ndning.</p>,"16,0",GrundnivÃ¥,CANCELLED,20201
DD3258,Introduktion till hÃ¶gprestandaberÃ¤kningar,https://www.kth.se/student/kurser/kurs/DD3258,<p>En forts&#228;ttningskurs som behandlar algoritmer och tekniker f&#246;r h&#246;gprestandaber&#228;kningar.</p>,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3015,Introduktion till programmering med GPGPU och anvÃ¤ndning fÃ¶r vetenskapliga berÃ¤kningar,https://www.kth.se/student/kurser/kurs/DD3015,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD2490,IP-routning inom enkla datornÃ¤t,https://www.kth.se/student/kurser/kurs/DD2490,<p>Kurs i datalogi som ger goda grundkunskaper inom Internetteknik.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD2491,IP-routning pÃ¥ internet och andra sammansatta nÃ¤t,https://www.kth.se/student/kurser/kurs/DD2491,<p>En avancerad kurs i datalogi som behandlar routning mellan autonoma system p&#229; Internet. En central del i kursen &#228;r samverkan mellan lokala och globala n&#228;t och de problem som d&#229; kan uppst&#229; som exempelvis &#246;verg&#229;ngen fr&#229;n intern routning till principbaserad routning.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD3402,Kombinatorisk optimering,https://www.kth.se/student/kurser/kurs/DD3402,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD2446,Komplexitetsteori,https://www.kth.se/student/kurser/kurs/DD2446,<p>En avancerad kurs i datalogi som behandlar modern komplexitetsteori.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD3445,Komplexitetsteori,https://www.kth.se/student/kurser/kurs/DD3445,,"7,5",ForskarnivÃ¥,ESTABLISHED,
2D5330,Kryptografins grunder,https://www.kth.se/student/kurser/kurs/2D5330,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD2449,Kryptografins grunder,https://www.kth.se/student/kurser/kurs/DD2449,<p>En avancerad kurs i datalogi som ger en orientering om modern kryptografi.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD3335,KvantberÃ¤kning,https://www.kth.se/student/kurser/kurs/DD3335,"<p>The purpose of this course is to give a concise introduction<br />to the theory of quantum computation. We will be in particular<br />concerned with the algorithmic aspects of the theory, but topics<br />such as quantum computational complexity, classical simulation of<br />quantum circuits and exotic models of quantum computation will<br />also be addressed.<br />The expected audience for the course will be master and PhD students<br />in computer science, mathematics or physics, but in principle anybody<br />with enough curiosity will be more than welcome. The main prerequisite<br />for the course is a good knowledge of linear algebra.</p>","6,0",ForskarnivÃ¥,ESTABLISHED,
DD2398,Kvantitativ systembiologi,https://www.kth.se/student/kurser/kurs/DD2398,"<p>Kursens syfte &#228;r att presentera molekyl&#228;rbiologi<br />fr&#229;n ett mekanistiskt perspektiv, samt ge en inblick i<br />aktuella fr&#229;gest&#228;llningar och metoder i systembiologin.<br />Fokus ligger p&#229; att beskriva genreglering och<br />regulatoriska n&#228;tverk.</p>","7,5",Avancerad nivÃ¥,CANCELLED,20201
DD3019,LÃ¤skurs i datalogi fÃ¶r doktorander,https://www.kth.se/student/kurser/kurs/DD3019,,"9,0",ForskarnivÃ¥,ESTABLISHED,
DD3016,"LÃ¤skurs i datalogi fÃ¶r doktorander 1,5 hp",https://www.kth.se/student/kurser/kurs/DD3016,,"1,5",ForskarnivÃ¥,ESTABLISHED,
DD3017,LÃ¤skurs i datalogi fÃ¶r doktorander 3 hp,https://www.kth.se/student/kurser/kurs/DD3017,,"3,0",ForskarnivÃ¥,ESTABLISHED,
DD3018,LÃ¤skurs i datalogi fÃ¶r doktorander 6 hp,https://www.kth.se/student/kurser/kurs/DD3018,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD3334,LÃ¤skurs om statistisk avvikelsedetektion,https://www.kth.se/student/kurser/kurs/DD3334,"<p>Statistisk avvikelsedetektion &#228;r ett allt viktigare omr&#229;de inom dataanalys och maskininl&#228;rning, och en viktig del i utvecklingen av autonoma system i industrin. Omr&#229;det innefattar ett stort antal s&#229;v&#228;l parametriska som icke-parametriska statistiska metoder f&#246;r att modellera olika typer av data. Samtidigt &#228;r det viktigt att ta h&#228;nsyn till egenskaper som robusthet, andel falsklarm, skalbarhet, och tids&#229;tg&#229;ng, f&#246;r att metoderna ska kunna hantera verkliga datam&#228;ngders olika egenskaper.</p><p>Kursens m&#229;l &#228;r att ge studenterna en &#246;verblick &#246;ver omr&#229;dets olika metoder och deras egenskaper, samt en f&#246;rst&#229;else f&#246;r vilka metoder som kan v&#228;ntas fungerar i olika sammanhang.</p>","4,5",ForskarnivÃ¥,ESTABLISHED,
DD3434,"MaskininlÃ¤rning, avancerad kurs",https://www.kth.se/student/kurser/kurs/DD3434,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DD3012,"MaskininlÃ¤rning, lÃ¤secirkel",https://www.kth.se/student/kurser/kurs/DD3012,,"6,0",ForskarnivÃ¥,ESTABLISHED,
DD221V,MaskinnÃ¤ra programmering och datorarkitektur,https://www.kth.se/student/kurser/kurs/DD221V,<p>En kurs om hur datorer &#228;r uppbyggda och exekverar program samt hur man skriver effektiva program som utnyttjar dessa.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD2377,MaskinnÃ¤ra programmering och datorarkitektur,https://www.kth.se/student/kurser/kurs/DD2377,<p>En kurs om hur datorer &#228;r uppbyggda och exekverar program samt hur man skriver effektiva program som utnyttjar dessa.</p>,"7,5",Avancerad nivÃ¥,CANCELLED,20201
DD1363,Mjukvarukonstruktion,https://www.kth.se/student/kurser/kurs/DD1363,<p>Second course in computer science giving theoretical knowledge and practical experience of working in a program development project.</p>,"12,0",GrundnivÃ¥,CANCELLED,20201
DD1365,Mjukvarukonstruktion,https://www.kth.se/student/kurser/kurs/DD1365,<p>An advanced course in computer science that provides theoretical and practical skills for large software development projects.</p>,"6,0",GrundnivÃ¥,CANCELLED,20201
DD3459,Mjukvaru pÃ¥litlighet,https://www.kth.se/student/kurser/kurs/DD3459,,"9,0",ForskarnivÃ¥,ESTABLISHED,
DD3370,Mjukvaruutvecklingsverktyg fÃ¶r tekniska berÃ¤kningar,https://www.kth.se/student/kurser/kurs/DD3370,,"5,0",ForskarnivÃ¥,ESTABLISHED,
DD2436,Modellering av cellbiologiska processer,https://www.kth.se/student/kurser/kurs/DD2436,"<p>Kursen behandlar matematisk modellering och datorsimulering av cellens biokemiska reaktioner, reaktionsn&#228;tverk samt genetiska reglern&#228;tverk.</p>","6,0",Avancerad nivÃ¥,CANCELLED,20201
DD3401,Neurovetenskap,https://www.kth.se/student/kurser/kurs/DD3401,,"7,5",ForskarnivÃ¥,ESTABLISHED,
DA1011,Numeriska metoder fÃ¶r SU,https://www.kth.se/student/kurser/kurs/DA1011,,"7,5",GrundnivÃ¥,CANCELLED,20201
DD2492,"NÃ¤tdesign, projektkurs",https://www.kth.se/student/kurser/kurs/DD2492,<p>En avancerad laborationskurs i datalogi som behandlar design av relativt stora campus- och backbonedatorn&#228;tverk p&#229; intern och extern niv&#229;.</p>,"9,0",Avancerad nivÃ¥,CANCELLED,20201
DD2495,NÃ¤tverkssÃ¤kerhet,https://www.kth.se/student/kurser/kurs/DD2495,<p>Forts&#228;ttningskurs i datalogi som ger &#246;versikt &#246;ver &#228;mnet n&#228;tverkss&#228;kerhet.</p>,"6,0",Avancerad nivÃ¥,CANCELLED,20201
DD235V,"Objektorienterad programmering, analys och design, Java",https://www.kth.se/student/kurser/kurs/DD235V,,"7,5",Avancerad nivÃ¥,CANCELLED,20201
